classificationName
Alli
Ampuhaukka
Etelänkiisla
Fasaani
Haahka
Haapana
Haarahaukka
Haarapääsky
Harakka
Härkälintu
Harmaahaikara
Harmaalokki
Harmaapäätikka
Harmaasieppo
Harmaasorsa
Heinäkurppa
Heinätavi
Helmipöllö
Hemppo
Hernekerttu
Hiirihaukka
Hiiripöllö
Hippiäinen
Hömötiainen
Huuhkaja
Idänuunilintu
Isokäpylintu
Isokoskelo
Isolepinkäinen
Jänkäkurppa
Jänkäsirriäinen
Järripeippo
Jouhisorsa
Kaakkuri
Käenpiika
Käki
Kalalokki
Kalatiira
Kanadanhanhi
Kanahaukka
Kangaskiuru
Kapustarinta
Käpytikka
Karikukko
Kaulushaikara
Kehrääjä
Keltahemppo
Keltasirkku
Keltavästäräkki
Keräkurmitsa
Kesykyyhky
Kiiruna
Kiljuhanhi
Kiljukotka
Kirjokerttu
Kirjosieppo
Kirjosiipikäpylintu
Kiuru
Kivitasku
Korppi
Koskikara
Kottarainen
Kuhankeittäjä
Kuikka
Kulorastas
Kultarinta
Kultasirkku
Kuningaskalastaja
Kuovi
Kurki
Kuukkeli
Kuusitiainen
Kyhmyjoutsen
Lampiviklo
Lapasorsa
Lapasotka
Lapinkirvinen
Lapinpöllö
Lapinsirkku
Lapinsirri
Lapintiainen
Lapintiira
Lapinuunilintu
Laulujoutsen
Laulurastas
Lehtokerttu
Lehtokurppa
Lehtopöllö
Leppälintu
Liejukana
Liro
Luhtahuitti
Luhtakana
Luhtakerttunen
Lumihanhi
Luotokirvinen
Maakotka
Mehiläishaukka
Merihanhi
Meriharakka
Merikihu
Merikotka
Merilokki
Merisirri
Metsähanhi
Metsäkirvinen
Metsäviklo
Metso
Mustakurkku-uikku
Mustaleppälintu
Mustalintu
Mustapääkerttu
Mustapäätasku
Mustapyrstökuiri
Mustarastas
Mustatiira
Mustavaris
Mustaviklo
Muuttohaukka
Naakka
Närhi
Naurulokki
Niittykirvinen
Niittysuohaukka
Nokikana
Nokkavarpunen
Nummikirvinen
Nuolihaukka
Pähkinähakki
Pähkinänakkeli
Pajulintu
Pajusirkku
Palokärki
Peippo
Peltopyy
Peltosirkku
Pensaskerttu
Pensassirkkalintu
Pensastasku
Peukaloinen
Piekana
Pikkuhuitti
Pikkukäpylintu
Pikkukuovi
Pikkulepinkäinen
Pikkulokki
Pikkusieppo
Pikkusirkku
Pikkusirri
Pikkutiira
Pikkutikka
Pikkutylli
Pikku-uikku
Pikkuvarpunen
Pilkkasiipi
Pohjansirkku
Pohjantikka
Pulmunen
Punajalkaviklo
Punakuiri
Punakylkirastas
Punarinta
Punasotka
Punatulkku
Punavarpunen
Pussitiainen
Puukiipijä
Pyrstötiainen
Pyy
Räkättirastas
Rantakurvi
Rantasipi
Rastaskerttunen
Rautiainen
Räyskä
Räystäspääsky
Riekko
Riskilä
Ristisorsa
Ruisrääkkä
Ruokki
Ruokokerttunen
Ruokosirkkalintu
Ruskosuohaukka
Rytikerttunen
Sääksi
Sarvipöllö
Satakieli
Selkälokki
Sepelkyyhky
Sepelrastas
Silkkiuikku
Sinipyrstö
Sinirinta
Sinisorsa
Sinisuohaukka
Sinitiainen
Sirittäjä
Sitruunavästäräkki
Suokukko
Suopöllö
Suosirri
Taivaanvuohi
Talitiainen
Tavi
Taviokuurna
Teeri
Telkkä
Tervapääsky
Tikli
Tilhi
Tiltaltti
Törmäpääsky
Töyhtöhyyppä
Töyhtötiainen
Tukkakoskelo
Tukkasotka
Tundraurpiainen
Tunturihaukka
Tunturikihu
Tunturikiuru
Tunturipöllö
Turkinkyyhky
Turturikyyhky
Tuulihaukka
Tylli
Uivelo
Urpiainen
Uuttukyyhky
Valkopäätiainen
Valkoposkihanhi
Valkoselkätikka
Valkoviklo
Varis
Varpunen
Varpushaukka
Varpuspöllö
Västäräkki
Vesipääsky
Viherpeippo
Vihervarpunen
Viiksitimali
Viiriäinen
Viirupöllö
Viitakerttunen
Viitasirkkalintu
Virtavästäräkki
Vuorihemppo
Muu
